RegionName,StateName,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30
New Jersey,NJ,163411,163111,162894,162483,162158,161864,161655,161597,161636,161734,161812,161918,162168,162539,162996,163379,163816,164326,164840,165257,165610,165928,166367,166842,167245,167595,167824,168148,168398,168697,168985,169390,169920,170628,171278,171960,172574,173360,174268,175294,176426,177556,178807,179851,180840,181728,182940,184286,185769,187156,188539,189917,191243,192627,194029,195627,197292,198952,200522,202075,203665,205466,207281,209224,211126,213087,215023,216896,218849,220942,223050,225134,227226,229417,231708,233987,236313,238735,241310,244314,247600,251082,254501,257917,261320,264628,267816,270919,273985,277096,280252,283301,286110,288674,291236,293955,296887,299997,303378,306723,310402,314066,317973,321880,325831,329829,333784,337709,341650,345281,348792,352515,356410,360517,364541,368639,372619,376712,380778,384724,387982,390925,393440,395924,398064,399911,401077,401450,401364,400694,399878,398593,397240,396061,395548,395355,394934,393668,391971,390172,388562,387116,385625,383939,382137,380269,377773,374658,371073,367962,365225,362668,359944,356901,353538,350380,347724,345170,342697,339891,337418,335091,333170,331621,330458,329780,329386,329199,328664,328060,327291,326950,326606,326174,325379,324052,322210,320033,318001,316031,314093,311986,309739,307562,305302,303169,300997,299285,297790,296348,294585,292755,291126,290014,289322,288569,287828,286838,286040,285211,284890,284956,285390,285971,286686,287259,287705,288076,288837,290169,291848,293660,295189,296576,297961,299110,300105,300641,301713,302781,303829,304376,304693,304828,304711,304501,304153,304098,304367,305146,305375,305675,305745,306069,306161,306309,306667,307052,307583,307952,307940,307935,307867,308082,308184,308641,309202,309738,310167,310753,311303,311911,312731,313404,314530,315244,316578,317309,318431,319615,320982,322177,323375,324636,326090,327627,328930,330413,331333,332496,333161,333745,334263,334775,335397,335846,336300,336794,337573,338335,339506,340428,341346,341317,340774,340056,339773,340268,341452,343051,344928,347034,348558,349929,351396,354418,358532,363214,367968,372698,377393,382344,387645,393474,400468,408517
Virginia,VA,121074,121012,121013,120978,120918,120842,120782,120829,120940,121102,121234,121365,121435,121580,121677,121848,121979,122135,122337,122497,122697,122836,123088,123292,123645,123918,124217,124381,124764,125167,125548,125851,126006,126226,126388,126732,127037,127422,127828,128389,128913,129573,130191,130772,131396,132047,132777,133473,134234,135116,135979,136785,137477,138109,138868,139778,140760,141719,142699,143750,144850,145801,146804,147774,148879,149908,150962,151965,153025,154101,155289,156466,157687,158933,160186,161484,162709,164064,165361,166752,168125,169583,171056,172546,174017,175558,177084,178645,180145,181643,183200,184818,186554,188609,190795,193054,195246,197718,200394,203255,206357,209826,213656,217739,221788,225518,228954,232600,236472,240089,243766,247711,252336,256757,260864,264530,268369,271942,275419,278258,280887,283373,285693,287355,288256,288835,289510,289947,289699,289203,288742,288665,288497,288438,288301,288357,287887,286930,285497,284309,283353,282380,281115,279346,277493,275362,272917,270106,267347,265169,263037,260770,258485,256572,254776,252964,250864,248931,247141,245568,244291,243122,242397,241736,241120,240429,240090,240000,240271,240459,240743,241023,241199,240977,240224,239378,238638,237956,237015,236116,235173,234203,233136,232236,231450,230937,230550,230399,230040,229554,229020,228739,228489,228605,228802,229101,229464,229797,230244,230537,230992,231762,232792,233618,234440,235139,236018,236791,237503,238189,238972,239921,240980,241732,242418,243044,243917,244527,245001,245300,245548,245899,246250,246509,246632,246875,247141,247430,247413,247829,248263,248701,249075,249362,249688,249994,250371,250766,251036,251332,251725,251790,251922,252298,253041,253772,254446,255107,255826,256491,257331,258290,259252,260336,261178,262059,262603,263312,263916,264677,265389,266217,267097,267779,268609,269143,270025,270697,271715,272582,273464,274085,274617,275152,275794,276745,277716,278974,280117,281187,281915,282668,283480,284510,285539,286536,287069,287565,288106,289199,290248,291418,292529,293879,295476,297292,299317,301554,304323,307264,310408,313319,316578,320169,324296,328640
Washington,WA,139619,139624,139646,139703,139823,140150,140536,141003,141387,141859,142426,143072,143609,144180,144825,145720,146643,147287,147883,148332,148877,149441,150035,150769,151936,153133,154303,154955,155646,156374,157288,158399,159781,160959,161971,162720,163121,163585,164095,165083,165888,167012,167897,168861,169619,170693,171833,172872,173818,174778,175714,176633,177650,178445,179352,180018,180720,181237,181873,182641,183570,184448,185272,186018,186659,187356,187938,188664,189331,190124,190824,191753,192461,193216,193788,194317,194703,195076,195614,196175,196793,197418,198162,198644,199326,200057,201119,202106,203194,204139,205143,206296,207622,209014,210253,211612,213135,214817,216407,218051,219958,222032,223994,225726,227568,229645,232085,234903,237857,240438,243220,246150,249418,253177,257320,261918,266282,270395,274549,278476,282077,285817,289223,292835,296218,299384,302309,304787,307145,309455,311289,312711,313827,315127,316823,318829,320346,321150,321150,321245,321088,320183,318777,317422,316108,314734,313027,310727,307849,304875,302112,299099,295983,293061,290202,287213,284773,281944,278928,274724,271329,268619,267046,265710,264561,263907,263556,263206,261822,260437,259242,259459,259824,259141,257183,254564,252337,249823,247370,244942,243059,241673,239785,237492,234107,231551,229328,227921,226295,224824,223377,222218,221498,220465,220163,220022,220968,222071,223466,224842,226270,227959,229973,231977,233543,235319,237455,239937,242467,244430,246602,248659,250984,252792,254200,255459,256992,258834,259897,260855,261367,262890,264135,265225,266016,267351,268890,270691,272680,274191,276153,277951,280487,282452,284408,286933,289611,292366,294947,297471,299796,302519,305216,307981,310342,312947,315871,318505,321275,323764,326809,329823,332868,335805,338775,342118,345487,349002,352577,356019,359078,362306,365312,368905,372352,376334,380001,383501,386469,388802,390307,391385,392808,394225,395513,396233,397263,397738,398290,398610,400339,401984,403856,404833,405952,406865,408923,412155,416316,420492,425153,429137,431605,433050,435481,439973,445316,451387,457348,463350,469354,476505,484327,494019,505577,519552
Massachusetts,MA,154645,154634,154748,154955,155194,155452,155826,156327,156803,157376,157932,158535,158679,158929,159124,159678,160305,160999,161639,162318,163089,163897,164694,165663,167123,168642,170190,171383,172547,173742,174827,175948,177187,178507,180057,181297,183051,184892,187021,189035,191018,192949,195217,196936,198728,200168,201860,203924,205945,208287,210326,212443,214569,216767,219065,221866,224859,227914,230771,233714,236647,239434,242281,245202,248178,251296,254330,257504,260280,263187,266007,268741,271339,273782,276403,279022,281819,284757,288103,291359,294788,298551,302468,306276,309581,312858,316081,319389,322602,325594,327993,330381,332698,335014,337357,339888,342661,345355,347960,350594,353286,356132,359353,362631,365990,368879,371606,374182,376715,379717,382405,385001,387011,388483,389823,390780,392137,393343,394364,394451,394220,393183,392287,391186,390209,389130,387296,385298,382674,380466,378095,376253,374931,374047,373361,372257,370817,369135,367633,366291,365160,363617,362096,360396,358247,355824,353221,350802,348559,346520,344564,342549,340156,337747,335214,332652,330168,327713,325449,323418,322071,321001,320480,320131,320516,321020,321761,322462,323473,324849,325995,326902,327044,326981,326231,325334,323901,322709,321536,320762,319788,318303,316393,314606,313016,311952,311018,310283,309353,308043,306600,305250,304282,303288,303045,303098,303768,304142,304655,305096,305724,306931,308780,310948,312560,315013,317149,319444,321165,322999,325068,327238,329962,332473,334417,335419,336410,337026,338319,339782,341216,342387,343166,344025,344361,344568,345124,346739,348860,350591,351737,351991,352645,353337,354969,356647,358187,359837,360840,361706,362669,364499,366295,368336,370116,371882,372763,373841,375595,377616,380033,381944,383600,384563,385790,387814,390115,392648,395228,397249,399240,400771,402966,404921,407116,409720,412334,414256,415742,417307,419067,420334,420768,421226,421446,422364,423066,423514,423628,424328,425538,427053,427474,427559,427660,427973,428542,429516,431770,434145,437225,439660,441905,443085,445407,449352,454332,459739,465512,471336,476919,483279,490087,498198,507310,518203
Indiana,IN,117816,117830,117369,117019,117199,117804,118289,118041,117831,116763,115711,114297,113544,112751,112558,112064,111942,112073,112489,112904,112582,113355,113989,114987,115098,115159,115310,115708,113966,110686,107174,105929,105957,106221,106447,106850,106893,106863,106607,106374,106789,107781,108766,108186,107212,105630,104474,103036,102390,102229,102179,101842,101815,102002,102498,103030,103459,104056,104642,105299,105757,105840,105951,106140,106399,106552,106610,106875,107094,107436,107579,107829,107844,107952,107938,108013,108087,108262,108410,108425,108466,108560,108767,108951,109055,109158,109265,109521,109697,109876,110036,110269,110550,110816,111071,111308,111474,111599,111817,112116,112507,112780,113058,113408,113759,114145,114494,114886,115773,116750,117804,118353,118838,119330,119862,120281,120631,120891,121155,121364,121331,121283,121144,121276,121473,121795,122125,122462,122836,123195,123410,123599,123672,123798,123852,124008,124039,124002,123901,123876,123847,123818,123951,124170,124342,124337,124249,124024,123831,123634,123500,123261,122978,122742,122417,121927,121528,121125,120881,120553,120313,120048,119723,119432,119240,119080,119038,119050,119033,119091,119048,119132,119081,119043,118870,118566,118102,117625,117145,116783,116468,116092,115735,115284,114889,114551,114431,114510,114646,114700,114691,114562,114406,114290,114280,114346,114455,114474,114454,114374,114389,114528,114565,114664,114758,114997,115176,115410,115650,115963,116243,116532,116774,116967,117286,117650,118077,118444,118861,119215,119536,119813,120196,120580,120950,121318,121702,122076,122350,122588,122809,123121,123420,123723,123866,124041,124280,124551,124910,125300,125838,126308,126661,126948,127336,127881,128584,129253,129929,130545,131069,131514,131958,132575,133332,134169,134981,135713,136309,136979,137643,138532,139385,140280,140972,141739,142611,143596,144491,145418,146438,147403,148188,148739,149438,150303,151396,152194,152936,153533,154351,155066,155740,156445,157241,158052,158614,159035,159576,160349,161228,162242,163167,164118,165020,166112,167402,168867,170593,172485,174363,176358,178451,180681,183109,185805
Arizona,AZ,110741,111055,111416,112072,112685,113238,113745,114215,114666,115123,115545,115940,116286,116666,116966,117297,117644,117991,118334,118668,119053,119426,119849,120307,120903,121449,121959,122364,122785,123244,123803,124444,125049,125640,126194,126764,127147,127559,128036,128681,129341,130195,130981,131735,132385,133018,133666,134231,134956,135678,136460,137196,137946,138507,139116,139690,140404,141062,141708,142387,143087,143791,144448,145062,145676,146271,146816,147348,147929,148585,149311,149979,150576,151110,151715,152320,152899,153551,154218,154970,155570,156252,156967,157824,158709,159567,160344,161118,161833,162499,163055,163715,164635,165659,166678,167697,168916,170097,171461,172776,174382,175829,177733,180046,182335,185020,187927,191969,196650,201492,206094,211288,217519,225413,233979,242295,251021,258233,265493,270288,273330,277202,281386,285440,286995,287079,285982,284481,282256,280963,279476,278501,277770,276712,275886,275154,274023,272126,269847,267856,265408,262610,259185,256113,252689,247413,241766,235176,230717,225903,221182,215373,210140,205521,199706,193634,188253,185352,182184,178842,174892,171925,169835,167956,166388,164207,164013,163998,164021,162635,161363,160904,160062,159074,156777,155121,152929,151438,149477,147591,145650,144002,142926,141121,139409,137469,136577,135993,135738,135773,135830,136757,137435,138692,139587,141770,144508,147407,149991,152539,155569,158238,161156,162801,164963,166272,168523,170350,172262,174586,177304,179567,181449,183015,183897,185405,187045,189497,190242,190253,190113,190317,190209,190297,190091,190538,191585,192785,193204,193409,194794,196663,198354,199282,200573,201787,203243,204104,204808,205618,207231,208495,209347,210165,211175,212262,212875,213911,215024,216605,218155,219415,220366,221506,222850,224121,225292,226707,228426,229630,230917,232205,233735,235083,236547,238277,239972,241630,243242,244749,246092,247312,248664,249789,250786,251721,252836,254122,255193,256129,257098,258521,259879,261420,262604,264034,265497,267551,269319,271684,274120,278276,280642,282793,284304,287540,291665,296222,301404,306911,313348,319938,327508,334652,344499,355540
Tennessee,TN,94160,94348,94576,95020,95484,95960,96450,96927,97338,97711,98101,98506,98847,99233,99630,100099,100508,100863,101207,101554,101986,102423,102862,103276,103906,104510,105059,105361,105687,106030,106330,106657,107023,107481,107842,108185,108281,108383,108475,108782,109130,109566,110037,110474,110795,111048,111385,111715,112056,112395,112738,113105,113409,113659,113919,114161,114476,114750,115087,115489,115996,116377,116737,117011,117319,117583,117812,118112,118400,118720,118947,119110,119247,119449,119676,119869,120068,120283,120531,120719,120915,121136,121386,121656,121876,122137,122370,122650,122931,123234,123506,123794,124088,124403,124726,125056,125449,125830,126243,126650,127044,127434,127836,128273,128747,129266,129813,130388,131009,131674,132378,133087,133827,134596,135436,136265,137116,137903,138722,139548,140351,141135,141846,142563,143251,143969,144682,145428,146140,146841,147483,148066,148567,149012,149474,149912,150320,150660,150938,151137,151194,151126,150937,150692,150294,149861,149438,149161,148934,148636,148218,147665,147110,146606,146112,145597,145170,144789,144307,143586,142737,141973,141342,140907,140581,140358,140164,140052,140027,139940,139909,139847,139862,139747,139542,139194,138774,138302,137843,137331,136661,136078,135463,135019,134529,134176,133836,133559,133267,132958,132688,132464,132387,132304,132326,132347,132464,132522,132670,132793,132983,133136,133268,133457,133694,134032,134404,134826,135164,135543,135889,136403,136970,137665,138383,138999,139528,139924,140251,140521,140856,141277,141709,142062,142329,142541,142724,143076,143540,144097,144632,145190,145885,146539,147170,147775,148449,149196,149993,150688,151435,152199,153013,153726,154315,154912,155647,156454,157390,158327,159341,160363,161258,162046,162968,164089,165287,166469,167605,168736,169723,170676,171654,172703,173742,174898,175934,176981,177966,179035,180153,181202,182237,183222,184037,184838,185713,186591,187472,188268,189108,189815,190492,191294,192231,193194,194099,195013,195931,197202,198700,200263,201541,202625,203823,205233,206902,208752,210933,213331,215940,218496,221161,224108,227606,231682
Missouri,MO,84009,84217,84385,84710,84974,85209,85421,85655,85918,86249,86568,86859,87050,87171,87312,87516,87801,88102,88424,88726,89029,89234,89440,89644,89964,90305,90621,90907,91213,91546,91891,92152,92345,92586,92912,93306,93704,94154,94624,95025,95349,95674,95994,96487,96984,97382,97641,97942,98407,98883,99358,99879,100446,100999,101581,102195,102819,103495,104239,104917,105426,105838,106380,107020,107692,108353,108991,109560,110124,110705,111328,111995,112677,113395,114010,114578,115105,115668,116246,116789,117379,117984,118589,119118,119659,120287,120946,121603,122228,122854,123427,124061,124703,125371,125960,126583,127184,127707,128165,128574,129049,129543,130127,130634,131069,131447,131917,132444,133012,133569,134153,134760,135415,136037,136614,137207,137807,138405,138940,139448,139895,140307,140675,141075,141414,141764,142087,142387,142702,143030,143405,143679,143870,143940,143995,144047,144063,144060,144031,143991,143849,143579,143195,142808,142502,142313,142056,141615,141166,140750,140377,139943,139557,139181,138591,137911,137260,136783,136307,135779,135181,134588,134023,133624,133254,133035,133104,133315,133324,133009,132837,132859,132885,132619,132143,131525,130778,130010,129133,128306,127510,126848,125965,124987,124039,123400,123006,122628,122347,122003,121679,121257,120899,120686,120715,120916,121100,121138,121071,121109,121316,121432,121705,121995,122576,122948,123239,123317,123460,123719,124054,124369,124556,124922,125199,125560,125794,126116,126423,126773,127224,127675,128095,128452,128784,129097,129449,129743,129905,130087,130398,130941,131431,131919,132358,132853,133346,133805,134187,134723,135288,135931,136463,136948,137524,138136,138839,139475,140126,140841,141666,142360,143077,143793,144568,145282,145832,146408,146972,147660,148503,149332,150118,150821,151528,152184,152955,153810,154747,155565,156348,157105,157659,158187,158692,159424,160260,161103,161780,162309,162936,163553,164062,164305,164619,164991,165437,165885,166550,167340,168172,168872,169465,170322,171441,172979,174582,176289,178107,179994,181828,183765,185936,188504,191335,194226
Maryland,MD,152119,152100,152093,152126,152244,152338,152381,152338,152381,152460,152571,152685,152623,152588,152521,152604,152611,152716,152923,153197,153317,153434,153551,153627,153852,154072,154431,154575,154701,154725,154705,154818,155039,155201,155253,155417,155805,156373,156859,157315,157687,158125,158622,159115,159621,160217,161030,161802,162502,162952,163479,163979,164685,165354,166087,166695,167369,168158,168984,169895,170681,171585,172449,173518,174471,175520,176528,177720,178954,180158,181458,182804,184360,185913,187575,189244,191133,193011,195010,196993,198981,201004,203033,205249,207475,209825,212256,214623,216963,219291,221646,223982,226563,229446,232436,235291,238145,241294,244472,247783,251154,254934,258887,263259,267888,272342,276969,281428,286347,290902,295371,300110,305160,310723,316385,322048,326993,332033,336315,341098,344759,348559,352208,355883,359226,361565,363579,364779,365676,365988,366685,366849,367036,366743,366685,366357,365966,365234,364385,363376,362468,360865,358068,354958,352300,350116,347525,344343,340288,335716,330845,326299,322085,318221,315138,311991,308462,304495,300314,296316,292703,290159,288033,286491,284746,283408,282258,281527,281069,280097,279182,278472,278458,277987,277171,275530,273945,272147,270084,267953,266019,264941,264108,263021,261383,259892,258450,257307,256114,255386,254805,254301,253487,252771,252327,252266,252364,252605,253152,253889,254665,255235,255892,256826,258161,259440,260814,262144,263912,265526,267198,268641,270280,271834,273498,274683,275774,276693,277201,277822,277765,278082,278065,278426,278477,278665,278891,279030,278996,278914,279361,279427,279722,279696,280004,280171,280370,280532,280344,280829,281377,282208,282639,283421,284501,285361,286337,287030,288256,289209,290360,291132,292261,293233,294225,294944,295451,296257,296701,297634,298456,299743,301021,302221,302774,303524,304370,305774,306937,307967,308907,309412,309683,309799,310190,310743,311784,312507,312911,313021,313619,314426,314774,314939,314958,315114,315107,315195,315954,316542,317594,318423,319769,321288,323439,326051,329135,332395,335946,339698,343144,347253,351562,356562,361437,366581
Wisconsin,WI,97989,98136,98241,98543,98898,99389,99875,100339,100737,101141,101568,101997,102395,102739,103150,103488,103862,104069,104306,104520,104801,105118,105343,105577,105748,106081,106441,106884,107163,107397,107615,107959,108383,108739,109159,109542,110109,110685,111286,111891,112431,112997,113505,113954,114351,114797,115429,116135,116844,117313,117777,118079,118571,119055,119648,120234,120813,121387,121884,122384,122849,123435,124034,124744,125366,125987,126581,127161,127750,128292,128881,129469,130111,130741,131316,131867,132352,132839,133272,133766,134272,134869,135530,136247,136958,137647,138430,139141,139893,140623,141406,142393,143443,144578,145399,146162,147044,148140,149202,150256,151396,152620,153915,154865,155792,156635,157718,158824,159594,160195,160833,161802,162892,164006,165104,166177,167064,167769,168395,168950,169478,170068,170558,170943,171122,171182,171198,171272,171473,171717,171941,172070,172455,172710,173060,173104,173080,172899,172596,172377,172199,172224,172235,172217,172190,171665,170883,169789,169021,168477,168049,167486,166840,165900,164875,163842,162300,161300,160342,160085,159426,158832,158192,157852,157547,157284,156971,156692,156791,156982,157169,157107,156936,156428,155769,154630,153276,152073,150945,150072,149108,148135,147067,145865,144657,143722,142858,142441,142168,141958,141724,141366,141034,140662,140317,140069,140061,140106,140284,140251,140266,140136,140197,140211,140410,140299,140567,141056,141909,142599,143218,143931,144780,145610,146192,146634,147035,147700,148438,148822,148982,149187,149620,149904,149982,150077,150366,150840,151282,151817,152125,152655,152991,153278,153432,153639,153991,154451,155063,155692,156281,156819,157293,157832,158535,159477,160349,161360,162403,163519,164416,165233,166088,166960,167856,168775,169669,170634,171605,172587,173430,174187,175085,176196,177492,178614,179767,180763,181944,182870,183764,184429,185245,186032,186798,187463,188053,188964,189983,191122,191985,192750,193486,194231,194864,195660,196211,197003,197757,198828,199857,200978,202094,203203,204392,205928,207771,209657,211892,214130,216606,218925,221458,224147,227232,230733
Minnesota,MN,104771,104605,104541,104483,104573,104815,105074,105463,105802,106221,106658,107123,107520,108040,108637,109291,109790,110190,110616,111028,111494,111960,112441,113019,113698,114364,114950,115386,115927,116384,117010,117613,118527,119383,120229,120968,121862,123004,124306,125666,126992,128481,129748,130723,131453,132331,133635,135024,136374,137648,138792,140099,141361,142712,144133,146082,147927,149763,151179,152873,154474,156048,157722,159459,161054,162598,164172,165799,167533,169304,171018,172342,173570,174762,175979,177084,178449,179745,181089,182173,183307,184432,185703,187158,188667,190079,191432,192640,193889,195018,196281,197568,198917,200179,201473,202723,203878,205120,206461,207930,209275,210744,212139,213514,214743,215909,216947,218024,219349,220728,221900,223112,224349,225501,226492,227281,228264,229100,230083,230726,231171,231441,231726,231929,231996,232068,232042,231938,231533,231221,230858,230786,230745,230800,230621,230154,229350,228304,227146,226315,225545,224846,223708,222172,220401,218336,216555,214788,213135,211510,209834,207915,205987,204041,202318,200675,198996,197347,195179,193297,191755,190794,190103,189713,189351,188899,188387,188308,188306,188560,188906,189214,189323,188789,187940,186432,184747,183067,181689,180016,178440,176634,175143,173453,171784,170254,168980,168192,167559,166940,166207,165577,165127,165054,165280,165838,166328,167098,167929,168967,170163,171626,173227,174831,176259,177281,178034,178810,180366,182095,184034,185814,187574,189225,190575,191723,192950,194255,195787,197092,198054,198634,198875,198920,198866,198824,198990,199492,199967,200904,201730,202806,203529,204216,204941,205755,206748,207706,208796,209857,211148,212239,213214,213893,214553,215487,216721,218239,219584,220997,222217,223371,224327,225324,226555,228092,229834,231444,232794,233771,234799,235743,237053,238496,240108,241733,243350,244782,245950,246906,247853,249026,250050,251077,251874,252778,253718,254669,255354,256208,257185,258430,259498,260273,261134,261858,262539,263307,264072,265210,266463,268137,269386,270379,271335,272928,274856,277071,279563,282131,284907,287646,290722,293719,297400,301576
Colorado,CO,141517,141982,142366,143144,143831,144519,145193,145883,146544,147170,147788,148405,149010,149519,150073,150717,151454,152133,152711,153278,153910,154646,155429,156199,157026,157765,158491,159028,159669,160309,161244,162285,163462,164556,165539,166579,167585,168914,170319,171891,173409,175258,176973,178440,179552,180763,182267,183888,185617,187353,189060,190941,192825,194758,196630,198759,201072,203390,205630,207847,210207,212318,214308,216039,217752,219236,220752,222283,223677,224886,225851,226730,227286,227931,228631,229418,230249,230968,231657,232045,232544,233079,233583,233841,234070,234337,234741,235003,235037,235053,235143,235382,235744,236031,236527,237012,237513,238019,238435,238960,239493,240130,240714,241278,241642,242113,242553,243228,243938,244573,245186,245780,246394,246953,247549,248116,248827,249638,250454,251079,251691,252181,252564,252738,253039,253262,253378,253543,253579,253477,253279,253333,253432,253391,253392,253549,253839,254094,254337,254324,253935,253287,252515,251597,250471,249407,248324,247346,246219,245227,244225,243371,242778,242268,241582,240728,239823,239196,238657,238229,237914,237616,237304,237021,236816,236749,236928,237248,237740,238097,238334,238200,237810,237099,236315,235380,234379,233430,232498,231588,230652,229685,228780,228003,227069,226362,225679,225506,225475,225527,225629,225811,226119,226484,226930,227692,228961,230484,232121,233397,234763,236133,237635,239042,240665,242418,244459,246240,247917,249485,251296,253403,255311,257045,258550,260231,261664,263115,264330,265773,267312,269009,270692,272150,273812,275784,278131,280621,283421,286268,289124,291838,294798,297760,300701,303746,306911,310016,312853,315496,317825,320190,322665,325435,327921,330303,332820,335431,337804,339992,342417,344864,347628,350383,353271,355709,357989,360223,362230,364150,366196,368521,370703,373302,375680,377961,380008,382484,385305,387937,390299,392308,394212,396102,398126,399507,400470,401661,402701,403628,403804,404340,404980,405913,406822,407412,408054,409355,411560,413653,415814,417859,419487,420621,422060,424661,427992,432065,436710,441817,447252,453530,460798,469149,479295,490944
